County Name,Census Tract,Count,Population,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,IBL Ranking
King,53033011002,24,23411,146.8,91.63,226.24,3
King,53033011101,54,31335,171.53,127.19,230.82,5
King,53033011102,79,24342,189.69,146.22,245.37,6
King,53033011200,25,20927,191.11,121.42,288.38,6
King,53033011300,49,31877,213.21,156.55,284.35,7
King,53033011401,25,21803,245.53,150.53,381.58,9
King,53033011402,97,22646,423.78,341.7,521.25,10
King,53033011500,30,22226,166.89,112.01,242.11,4
King,53033011600,103,34368,161.2,129.14,206.83,4
King,53033011700,42,29242,136.43,97.85,186.59,2
King,53033011800,55,40309,171.14,127.46,225.57,5
King,53033011900,65,37778,168.66,129.46,216.94,4
King,53033012000,27,17713,158.12,103.09,236.86,4
King,53033012100,33,14222,154.46,105.8,230.75,3
King,53033020100,62,16250,186.71,141.81,276.82,6
King,53033020200,129,28628,171.18,139.67,217.23,5
King,53033020300,71,36278,174.13,135.27,223.42,5
King,53033020401,22,17974,149.26,91.6,234.61,3
King,53033020402,48,27847,196.98,143.61,264.75,6
King,53033020500,82,34240,190.64,151.05,240.33,6
King,53033020600,28,18680,152.72,100.69,225.45,3
King,53033020700,35,19541,178.37,123.95,251.91,5
King,53033020800,50,22132,125.15,92.66,177.61,2
King,53033020900,51,17054,192.69,142.78,266.4,6
King,53033021000,99,28585,215.34,173.67,267.87,7
King,53033021100,54,21271,243.3,181.86,321.46,9
King,53033021300,52,19529,222.29,164.8,298,8
King,53033021400,42,18911,174.78,125.49,244.79,5
King,53033021500,54,22460,196.77,146.48,270.29,6
King,53033021600,41,26070,141,100.63,194.51,3
King,53033021700,69,43668,194.15,149.87,248.7,6
King,53033021802,24,29613,138.83,87.47,211.01,2
King,53033021803,40,27455,146.87,104.07,202.75,3
King,53033021804,44,30022,133.72,96.64,181.94,2
King,53033021903,107,30976,261,211.32,321.24,9
King,53033021904,29,28207,169.01,111.47,246.8,4
King,53033021905,45,27075,212.78,154.32,286.82,7
King,53033021906,21,21458,163.78,96.11,264.15,4
King,53033022001,137,26283,213.52,173.28,265.56,7
King,53033022003,29,26419,244.58,156.3,367.52,9
King,53033022005,46,24877,240.92,173.91,328.15,8
King,53033022006,75,19554,310.83,243.91,396.04,10
King,53033022101,47,25166,162.62,118.72,220.45,4
King,53033022102,31,33138,149.36,100.26,214.67,3
King,53033022201,30,22410,209.94,137.89,308.17,7
King,53033022202,51,37550,216.64,157.61,292.25,7
King,53033022203,26,27038,204.79,124.98,320.74,7
King,53033022300,20,14997,115.74,69.75,189.29,1
King,53033022400,53,41552,178.56,132.91,235.15,5
King,53033022500,50,39658,109.02,80.71,147.64,1
King,53033022603,30,30215,137.96,92.55,198.76,2
King,53033022604,31,23454,179.31,120.84,256.81,5
King,53033022605,20,29313,180.23,106.72,287.1,5
King,53033022606,49,28511,186.25,137.39,249.75,6
King,53033022701,39,15360,182.38,129.26,268.17,5
King,53033022702,20,20447,125.82,76.16,196.21,2
King,53033022703,16,12432,140.92 (NR),79.88 (NR),234.11 (NR),3
King,53033022801,22,43432,99.88,59.85,159.07,1
King,53033022802,25,24918,195.31,122.3,298.71,6
King,53033022803,42,32190,106.94,72.53,155.33,1
King,53033022901,45,14803,242.13,176.15,334.46,8
